ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35620,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,38660,ADJUNTAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00602,10380,AGUADA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00604,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,99999,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,10380,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,11640,ARECIBO,PR,0.995224209,0.999197110,0.997014925,0.995637909
00612,10380,ARECIBO,PR,0.000929800,0.000401445,0.002985075,0.000932071
00612,41980,ARECIBO,PR,0.003845991,0.000401445,0.000000000,0.003430020
00613,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,11640,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,11640,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,BARCELONETA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00622,41900,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,41900,CABO ROJO,PR,0.999172133,1.000000000,1.000000000,0.999227616
00623,32420,CABO ROJO,PR,0.000827867,0.000000000,0.000000000,0.000772384
00624,49500,PENUELAS,PR,0.998939273,1.000000000,1.000000000,0.998996991
00624,38660,PENUELAS,PR,0.001060727,0.000000000,0.000000000,0.001003009
00627,11640,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,10380,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,41900,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,CIALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00641,38660,UTUADO,PR,0.027600203,0.004651163,0.288235294,0.030365511
00641,10380,UTUADO,PR,0.972399797,0.995348837,0.711764706,0.969634489
00646,41980,DORADO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00647,41900,ENSENADA,PR,0.008302319,0.000000000,0.000000000,0.008044383
00647,49500,ENSENADA,PR,0.991697681,1.000000000,1.000000000,0.991955617
00650,41980,FLORIDA,PR,0.860784668,0.993710692,0.827586207,0.864311943
00650,11640,FLORIDA,PR,0.139215332,0.006289308,0.172413793,0.135688057
00652,11640,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,49500,GUANICA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00656,49500,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,11640,HATILLO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00660,32420,HORMIGUEROS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00662,11640,ISABELA,PR,0.001120791,0.000730994,0.000000000,0.001081589
00662,10380,ISABELA,PR,0.998879209,0.999269006,1.000000000,0.998918411
00664,27580,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00667,41900,LAJAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00669,10380,LARES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00670,32420,LAS MARIAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,MANATI,PR,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,MOCA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,RINCON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00678,11640,QUEBRADILLAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00680,32420,MAYAGUEZ,PR,0.999952741,0.999620493,1.000000000,0.999919846
00680,41900,MAYAGUEZ,PR,0.000000000,0.000379507,0.000000000,0.000040077
00680,10380,MAYAGUEZ,PR,0.000047259,0.000000000,0.000000000,0.000040077
00681,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,MAYAGUEZ,PR,1.000000000,1.000000000,1.000000000,1.000000000
00683,41900,SAN GERMAN,PR,0.989315736,0.997750281,0.992094862,0.989907000
00683,32420,SAN GERMAN,PR,0.010684264,0.002249719,0.007905138,0.010093000
00685,10380,SAN SEBASTIAN,PR,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,MOROVIS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00688,11640,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,SAN ANTONIO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,VEGA ALTA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00694,41980,VEGA BAJA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00698,49500,YAUCO,PR,0.998544837,1.000000000,1.000000000,0.998657493
00698,41900,YAUCO,PR,0.001455163,0.000000000,0.000000000,0.001342507
00703,41980,AGUAS BUENAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00704,17640,AGUIRRE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00705,41980,AIBONITO,PR,0.998715313,1.000000000,1.000000000,0.998857143
00705,17620,AIBONITO,PR,0.001284687,0.000000000,0.000000000,0.001142857
00707,41980,MAUNABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,ARROYO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,MERCEDITA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,NAGUABO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,NARANJITO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00720,38660,OROCOVIS,PR,0.106846128,0.024691358,0.000000000,0.101322957
00720,41980,OROCOVIS,PR,0.893153872,0.975308642,1.000000000,0.898677043
00721,41980,PALMER,PR,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,PATILLAS,PR,0.836662371,0.993690852,1.000000000,0.846130547
00723,41980,PATILLAS,PR,0.163337629,0.006309148,0.000000000,0.153869453
00725,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,CAGUAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,CANOVANAS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,PONCE,PR,1.000000000,1.000000000,1.000000000,1.000000000
