,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
0,0,50,2,38501,18260,COOKEVILLE,TN,,
1,1,50,2,38464,29980,LAWRENCEBURG,TN,,
2,1,50,2,38464,99999,LAWRENCEBURG,TN,,
3,2,50,2,38305,99999,JACKSON,TN,,
4,2,50,2,38305,27180,JACKSON,TN,,
5,3,50,2,38260,46460,TROY,TN,,
6,4,50,2,38237,32280,MARTIN,TN,,
7,4,50,2,38237,46460,MARTIN,TN,,
8,5,50,2,38135,32820,MEMPHIS,TN,,
9,6,50,2,38122,32820,MEMPHIS,TN,,
10,7,50,2,37932,28940,KNOXVILLE,TN,,
11,8,50,2,37921,28940,KNOXVILLE,TN,,
12,9,50,2,37921,28940,KNOXVILLE,TN,,
13,10,50,2,37919,28940,KNOXVILLE,TN,,
14,11,50,1,37912,28940,KNOXVILLE,TN,,
15,12,50,2,37901,28940,KNOXVILLE,TN,,
16,13,50,2,37766,28940,LA FOLLETTE,TN,,
17,14,50,2,37766,28940,LA FOLLETTE,TN,,
18,15,50,2,37743,35460,GREENEVILLE,TN,,
19,15,50,2,37743,24620,GREENEVILLE,TN,,
20,16,50,2,37663,27740,KINGSPORT,TN,,
21,16,50,2,37663,28700,KINGSPORT,TN,,
22,17,50,2,37660,28700,KINGSPORT,TN,,
23,18,50,2,37618,28700,BLUFF CITY,TN,,
24,19,50,2,37398,46100,WINCHESTER,TN,,
25,20,50,2,37365,16860,PALMER,TN,,
26,20,50,2,37365,99999,PALMER,TN,,
27,21,50,2,37311,16860,CLEVELAND,TN,,
28,21,50,2,37311,17420,CLEVELAND,TN,,
29,22,50,2,37209,34980,NASHVILLE,TN,,
30,23,50,2,37150,18260,RED BOILING SPRINGS,TN,,
31,23,50,2,37150,99999,RED BOILING SPRINGS,TN,,
32,23,50,2,37150,34980,RED BOILING SPRINGS,TN,,
33,24,50,2,37130,34980,MURFREESBORO,TN,,
34,25,50,2,37128,34980,MURFREESBORO,TN,,
35,26,50,2,37087,34980,LEBANON,TN,,
36,27,50,1,37080,34980,JOELTON,TN,,
