State,Midwest,Midwesterner,Born,Ideology,Partyregaff,Age,race,otehistory,education,gender,zip,weight
50,2,2,50,2,1,3,2,4,1,2,38501,0.78
50,2,2,50,3,1,2,2,4,5,2,38464,0.90
50,2,2,50,2,1,4,2,4,1,1,38305,0.67
50,2,2,50,2,1,3,2,4,3,2,38260,0.66
50,2,2,21,1,1,1,2,4,1,2,38237,0.72
50,2,2,50,3,1,2,2,2,4,1,38135,1.38
50,2,2,21,2,1,4,4,4,1,2,38122,1.64
50,2,2,47,2,1,4,2,4,4,2,37932,0.71
50,2,2,6,2,1,5,5,3,3,1,37921,0.42
50,2,2,50,2,1,3,2,2,2,1,37921,0.94
50,2,2,44,2,1,1,2,4,5,1,37919,0.84
50,1,1,50,1,1,1,2,4,1,2,37912,0.72
50,2,2,41,2,1,3,2,4,3,2,37901,0.66
50,2,2,50,2,1,4,2,4,2,2,37766,0.58
50,2,2,50,2,1,4,2,4,1,2,37766,0.67
50,2,2,50,1,1,3,2,4,1,1,37743,1.04
50,2,2,50,1,1,3,2,4,1,2,37663,0.78
50,2,2,11,1,1,5,2,4,1,1,37660,0.85
50,2,2,50,1,1,4,2,4,4,1,37618,0.49
50,2,2,50,1,1,5,2,4,1,2,37398,0.79
50,2,2,2,2,1,5,2,3,5,2,37365,0.34
50,2,2,50,2,1,1,2,2,3,2,37311,0.72
50,2,2,50,2,1,2,3,4,1,2,37209,1.30
50,2,2,21,1,1,5,2,2,1,2,37150,1.07
50,2,1,51,2,1,2,1,2,1,2,37130,0.00
50,2,2,40,2,1,3,2,2,3,2,37128,0.83
50,2,2,50,2,1,3,2,4,1,2,37087,0.78
50,1,1,6,1,1,1,2,4,1,2,37080,0.72
50,2,2,50,1,1,3,2,4,1,2,37072,0.78
50,2,2,50,2,1,2,3,4,3,2,37064,1.09
50,1,2,5,2,1,1,2,4,1,1,37058,0.99
3,1,2,3,2,1,3,2,4,1,2,72958,0.74
3,1,1,3,2,1,3,2,4,1,1,72956,1.31
3,2,2,42,1,3,4,2,2,4,2,72956,0.91
3,2,2,40,2,4,5,2,2,4,1,72952,1.00
3,2,2,3,2,3,2,4,2,4,2,72936,2.01
3,2,2,13,2,3,1,2,4,3,2,72936,1.00
3,2,2,3,1,1,3,2,4,1,2,72932,0.74
3,1,2,51,2,1,4,2,4,2,2,72921,0.56
3,2,2,3,1,1,3,2,4,1,2,72916,0.74
3,2,2,3,2,2,1,2,4,3,2,72904,0.59
3,1,1,3,1,1,4,2,4,1,1,72904,1.07
3,1,1,3,2,2,3,1,1,4,2,72903,4.26
3,2,2,3,3,1,3,2,1,1,3,72903,0.92
3,2,2,3,2,4,4,2,4,1,1,72903,1.27
3,2,2,3,3,2,1,2,1,1,2,72903,0.51
3,2,2,3,3,2,4,2,3,3,2,72901,0.15
3,1,2,3,1,3,1,2,2,3,1,72901,2.48
3,1,1,40,1,3,4,3,2,3,1,72901,0.81
3,2,2,20,2,3,4,2,2,1,2,72865,1.65
3,1,1,3,3,2,5,2,1,1,2,72835,0.41
3,2,2,3,2,2,2,1,1,4,1,72833,4.21
3,1,2,3,1,3,1,2,2,3,2,72833,2.08
3,1,1,3,2,1,1,2,4,1,2,72830,0.97
3,2,2,3,2,4,4,2,4,3,2,72830,0.68
3,2,2,6,1,3,4,2,2,1,2,72830,1.65
3,2,2,3,1,4,3,2,2,5,2,72802,0.89
3,1,1,3,2,1,2,2,4,1,1,72774,1.64
3,1,1,6,2,2,2,1,1,3,1,72764,4.44
3,2,2,6,2,1,4,2,4,1,2,72764,0.61
3,2,2,51,2,2,3,3,4,1,2,72762,0.90
3,2,2,3,3,2,4,2,1,5,1,72753,0.82
3,2,2,3,3,2,3,5,2,3,2,72751,2.59
3,1,1,3,2,2,1,2,1,4,1,72742,1.17
3,2,2,6,3,2,3,1,2,4,1,72740,1.93
3,2,2,3,2,3,5,2,4,1,2,72738,0.86
3,2,2,3,2,3,4,2,4,2,2,72736,0.62
3,1,2,3,2,3,3,2,1,2,1,72736,0.89
3,2,2,3,2,1,1,2,4,1,2,72734,0.97
3,1,2,3,2,2,3,2,1,1,2,72730,0.39
3,2,2,3,2,1,3,2,4,1,2,72719,0.74
