Do you live in the Midwest or the South?,"Do you live in the Midwest, the Great Plains, or the West?","Do you live in the Midwest, Appalachia, or the South?",What is your party affiliation/registration?,What is your age range?,"For statistical purposes only, can you please tell me your ethnicity?",What is the highest level of education you have attained?,Can you please tell me your gender?,ZIP,ZIP3,STATE,weights
#NULL!,1,#NULL!,4,7,2,1,2,57042,570,4,0.26
#NULL!,1,#NULL!,4,7,2,1,1,57108,571,4,0.31
#NULL!,2,#NULL!,4,7,2,1,2,57219,572,4,0.30
#NULL!,1,#NULL!,4,7,2,1,2,57276,572,4,0.30
#NULL!,1,#NULL!,4,7,2,2,2,57260,572,4,0.33
#NULL!,2,#NULL!,4,7,2,2,2,57263,572,4,0.33
#NULL!,1,#NULL!,4,7,2,2,2,57349,573,4,0.33
#NULL!,1,#NULL!,4,7,2,2,2,57785,577,4,0.33
#NULL!,1,#NULL!,4,7,2,1,1,57732,577,4,0.36
#NULL!,1,#NULL!,4,7,2,4,1,57043,570,4,0.39
#NULL!,2,#NULL!,4,7,2,4,1,57069,570,4,0.39
#NULL!,1,#NULL!,4,7,2,4,1,57730,577,4,0.39
#NULL!,1,#NULL!,4,7,2,4,2,57005,570,4,0.38
#NULL!,2,#NULL!,4,7,2,4,2,57078,570,4,0.38
#NULL!,1,#NULL!,4,7,2,4,2,57730,577,4,0.38
#NULL!,1,#NULL!,4,7,2,2,1,57055,570,4,0.40
#NULL!,2,#NULL!,4,7,2,2,1,57383,573,4,0.40
#NULL!,1,#NULL!,4,7,2,2,1,57751,577,4,0.40
#NULL!,2,#NULL!,4,7,5,5,1,57105,571,4,0.44
#NULL!,1,#NULL!,4,7,2,5,1,57006,570,4,0.46
#NULL!,2,#NULL!,4,7,2,5,1,57702,577,4,0.46
#NULL!,1,#NULL!,4,7,2,3,3,57261,572,4,0.60
#NULL!,2,#NULL!,4,7,2,4,1,57025,570,4,0.46
#NULL!,2,#NULL!,4,7,2,4,1,57103,571,4,0.46
#NULL!,1,#NULL!,4,7,2,4,1,57108,571,4,0.46
#NULL!,2,#NULL!,4,7,2,4,1,57501,575,4,0.46
#NULL!,2,#NULL!,4,7,2,4,1,57547,575,4,0.46
#NULL!,3,#NULL!,4,7,2,4,1,57701,577,4,0.46
#NULL!,2,#NULL!,4,7,2,4,1,57783,577,4,0.46
#NULL!,1,#NULL!,4,7,2,4,1,57785,577,4,0.46
#NULL!,2,#NULL!,4,7,1,1,1,57473,574,4,0.47
#NULL!,1,#NULL!,4,7,2,5,2,57105,571,4,0.45
