,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
642,510,18,1,60827,16980,RIVERDALE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
644,511,18,1,60827,16980,RIVERDALE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
646,512,18,1,60827,16980,RIVERDALE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
648,513,18,1,60803,16980,ALSIP,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
650,514,18,1,60803,16980,ALSIP,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
652,515,18,1,60660,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
654,516,18,1,60656,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
656,517,18,1,60656,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
658,518,18,1,60649,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
660,519,18,1,60649,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
662,520,18,1,60647,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
664,521,18,1,60647,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
666,522,18,1,60647,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
668,523,18,1,60646,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
670,524,18,1,60646,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
672,525,18,1,60644,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
674,526,18,2,60643,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
676,527,18,1,60641,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
678,528,18,1,60638,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
680,529,18,1,60638,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
682,530,18,1,60637,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
684,531,18,1,60636,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
686,532,18,1,60634,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
688,533,18,1,60634,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
690,534,18,1,60634,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
692,535,18,1,60634,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
694,536,18,1,60633,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
696,537,18,1,60631,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
698,538,18,1,60631,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
700,539,18,1,60630,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
702,540,18,1,60629,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
704,541,18,2,60628,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
706,542,18,1,60628,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
708,543,18,1,60626,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
710,544,18,1,60625,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
712,545,18,1,60625,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
714,546,18,1,60625,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
716,547,18,1,60625,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
718,548,18,1,60623,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
720,549,18,1,60623,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
722,550,18,1,60622,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
724,551,18,1,60621,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
726,552,18,1,60620,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
728,553,18,1,60619,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
730,554,18,1,60618,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
732,555,18,1,60618,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
734,556,18,1,60618,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
736,557,18,1,60616,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
738,558,18,1,60614,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
740,559,18,1,60614,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
742,560,18,1,60613,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
744,561,18,1,60609,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
746,562,18,1,60609,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
748,563,18,1,60609,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
750,564,18,1,60607,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
752,565,18,1,60605,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
754,566,18,1,60601,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
757,567,18,1,60601,16980,CHICAGO,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
760,568,18,1,60563,16980,NAPERVILLE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
763,569,18,1,60552,16980,SOMONAUK,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
765,570,18,1,60551,16980,SHERIDAN,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
768,571,18,1,60546,16980,RIVERSIDE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
770,572,18,1,60546,16980,RIVERSIDE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
772,573,18,1,60542,16980,NORTH AURORA,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
774,574,18,1,60538,16980,MONTGOMERY,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
776,575,18,1,60527,16980,WILLOWBROOK,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
778,576,18,1,60525,16980,LA GRANGE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
780,577,18,1,60525,16980,LA GRANGE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
782,578,18,1,60525,16980,LA GRANGE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
784,579,18,1,60502,16980,AURORA,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
786,580,18,1,60480,16980,WILLOW SPRINGS,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
788,581,18,1,60468,16980,PEOTONE,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
791,582,18,2,60465,16980,PALOS HILLS,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
793,583,18,1,60451,16980,NEW LENOX,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
795,584,18,1,60440,16980,BOLINGBROOK,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
797,585,18,1,60436,16980,JOLIET,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
799,586,18,1,60433,16980,JOLIET,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
801,587,18,1,60432,16980,JOLIET,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
803,588,18,1,60430,16980,HOMEWOOD,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
805,589,18,1,60428,16980,MARKHAM,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
807,590,18,1,60428,16980,MARKHAM,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
809,591,18,1,60423,16980,FRANKFORT,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
811,592,18,1,60416,16980,COAL CITY,IL,CHC,"Chicago-Naperville-Elgin, IL-IN-WI"
