,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
643,510,18,1,60827,16980,RIVERDALE,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
645,511,18,1,60827,16980,RIVERDALE,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
647,512,18,1,60827,16980,RIVERDALE,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
649,513,18,1,60803,16980,ALSIP,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
651,514,18,1,60803,16980,ALSIP,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
653,515,18,1,60660,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
655,516,18,1,60656,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
657,517,18,1,60656,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
659,518,18,1,60649,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
661,519,18,1,60649,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
663,520,18,1,60647,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
665,521,18,1,60647,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
667,522,18,1,60647,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
669,523,18,1,60646,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
671,524,18,1,60646,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
673,525,18,1,60644,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
675,526,18,2,60643,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
677,527,18,1,60641,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
679,528,18,1,60638,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
681,529,18,1,60638,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
683,530,18,1,60637,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
685,531,18,1,60636,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
687,532,18,1,60634,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
689,533,18,1,60634,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
691,534,18,1,60634,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
693,535,18,1,60634,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
695,536,18,1,60633,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
697,537,18,1,60631,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
699,538,18,1,60631,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
701,539,18,1,60630,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
703,540,18,1,60629,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
705,541,18,2,60628,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
707,542,18,1,60628,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
709,543,18,1,60626,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
711,544,18,1,60625,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
713,545,18,1,60625,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
715,546,18,1,60625,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
717,547,18,1,60625,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
719,548,18,1,60623,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
721,549,18,1,60623,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
723,550,18,1,60622,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
725,551,18,1,60621,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
727,552,18,1,60620,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
729,553,18,1,60619,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
731,554,18,1,60618,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
733,555,18,1,60618,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
735,556,18,1,60618,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
737,557,18,1,60616,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
739,558,18,1,60614,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
741,559,18,1,60614,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
743,560,18,1,60613,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
745,561,18,1,60609,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
747,562,18,1,60609,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
749,563,18,1,60609,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
751,564,18,1,60607,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
753,565,18,1,60605,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
755,566,18,1,60601,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
758,567,18,1,60601,16980,CHICAGO,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
761,568,18,1,60563,16980,NAPERVILLE,IL,CHW,"Chicago-Naperville-Elgin, IL-IN-WI"
