,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
2763,2138,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2765,2139,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2767,2140,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2769,2141,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2771,2142,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2773,2143,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2775,2144,19,1,47374,17140,RICHMOND,IN,CIN,"Cincinnati, OH-KY-IN"
2791,2151,19,1,47331,17140,CONNERSVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
2794,2152,19,1,47331,17140,CONNERSVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
2797,2153,19,1,47331,17140,CONNERSVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
2800,2154,19,1,47331,17140,CONNERSVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
2803,2155,19,1,47331,17140,CONNERSVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
2841,2171,19,1,47240,17140,GREENSBURG,IN,CIN,"Cincinnati, OH-KY-IN"
2845,2172,19,1,47240,17140,GREENSBURG,IN,CIN,"Cincinnati, OH-KY-IN"
2849,2173,19,1,47240,17140,GREENSBURG,IN,CIN,"Cincinnati, OH-KY-IN"
2853,2174,19,2,47240,17140,GREENSBURG,IN,CIN,"Cincinnati, OH-KY-IN"
2902,2205,19,1,47040,17140,RISING SUN,IN,CIN,"Cincinnati, OH-KY-IN"
2903,2206,19,1,47025,17140,LAWRENCEBURG,IN,CIN,"Cincinnati, OH-KY-IN"
2904,2207,19,1,47025,17140,LAWRENCEBURG,IN,CIN,"Cincinnati, OH-KY-IN"
3331,2472,19,1,46173,17140,RUSHVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
3335,2473,19,1,46173,17140,RUSHVILLE,IN,CIN,"Cincinnati, OH-KY-IN"
3492,2591,41,1,45252,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3493,2592,41,1,45242,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3494,2593,41,1,45240,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3495,2594,41,1,45240,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3496,2595,41,1,45225,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3497,2596,41,1,45224,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3498,2597,41,1,45219,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3499,2598,41,1,45214,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3500,2599,41,1,45211,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3501,2600,41,1,45207,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3502,2601,41,1,45206,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3503,2602,41,2,45205,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
3505,2604,41,2,45167,17140,RIPLEY,OH,CIN,"Cincinnati, OH-KY-IN"
3506,2605,41,1,45122,17140,GOSHEN,OH,CIN,"Cincinnati, OH-KY-IN"
3507,2606,41,1,45121,17140,GEORGETOWN,OH,CIN,"Cincinnati, OH-KY-IN"
3509,2607,41,1,45107,17140,BLANCHESTER,OH,CIN,"Cincinnati, OH-KY-IN"
3511,2608,41,1,45066,17140,SPRINGBORO,OH,CIN,"Cincinnati, OH-KY-IN"
3512,2609,41,1,45065,17140,SOUTH LEBANON,OH,CIN,"Cincinnati, OH-KY-IN"
3513,2610,41,1,45044,17140,MIDDLETOWN,OH,CIN,"Cincinnati, OH-KY-IN"
3514,2611,41,2,45039,17140,MAINEVILLE,OH,CIN,"Cincinnati, OH-KY-IN"
3515,2612,41,1,45036,17140,LEBANON,OH,CIN,"Cincinnati, OH-KY-IN"
3516,2613,41,1,45036,17140,LEBANON,OH,CIN,"Cincinnati, OH-KY-IN"
3517,2614,41,1,45036,17140,LEBANON,OH,CIN,"Cincinnati, OH-KY-IN"
3518,2615,41,1,45036,17140,LEBANON,OH,CIN,"Cincinnati, OH-KY-IN"
3519,2616,41,1,45034,17140,KINGS MILLS,OH,CIN,"Cincinnati, OH-KY-IN"
3520,2617,41,2,45013,17140,HAMILTON,OH,CIN,"Cincinnati, OH-KY-IN"
3521,2618,41,1,45011,17140,HAMILTON,OH,CIN,"Cincinnati, OH-KY-IN"
3523,2619,41,1,45005,17140,FRANKLIN,OH,CIN,"Cincinnati, OH-KY-IN"
4653,3515,41,1,45005,17140,FRANKLIN,OH,CIN,"Cincinnati, OH-KY-IN"
4658,3519,41,1,45042,17140,MIDDLETOWN,OH,CIN,"Cincinnati, OH-KY-IN"
4716,3560,41,1,45150,17140,MILFORD,OH,CIN,"Cincinnati, OH-KY-IN"
4720,3563,41,1,45237,17140,CINCINNATI,OH,CIN,"Cincinnati, OH-KY-IN"
