,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
3574,2651,41,1,44256,17460,MEDINA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3576,2652,41,1,44256,17460,MEDINA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3578,2653,41,1,44256,17460,MEDINA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3580,2654,41,1,44256,17460,MEDINA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3582,2655,41,1,44254,17460,LODI,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3583,2656,41,1,44253,17460,LITCHFIELD,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3587,2660,41,1,44212,17460,BRUNSWICK,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3588,2661,41,1,44212,17460,BRUNSWICK,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3591,2662,41,2,44203,17460,BARBERTON,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3592,2663,41,1,44145,17460,WESTLAKE,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3593,2664,41,1,44137,17460,MAPLE HEIGHTS,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3594,2665,41,1,44135,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3595,2666,41,2,44134,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3596,2667,41,1,44130,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3597,2668,41,1,44129,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3598,2669,41,2,44125,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3599,2670,41,1,44124,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3600,2671,41,1,44124,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3601,2672,41,1,44123,17460,EUCLID,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3602,2673,41,1,44114,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3603,2674,41,1,44113,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3604,2675,41,1,44109,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3605,2676,41,1,44109,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3606,2677,41,1,44107,17460,LAKEWOOD,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3607,2678,41,1,44105,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3608,2679,41,2,44102,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3609,2680,41,1,44102,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3610,2681,41,2,44102,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3611,2682,41,1,44101,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3612,2683,41,1,44101,17460,CLEVELAND,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3613,2684,41,1,44094,17460,WILLOUGHBY,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3614,2685,41,1,44055,17460,LORAIN,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3615,2686,41,1,44052,17460,LORAIN,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3616,2687,41,1,44049,17460,KIPTON,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3617,2688,41,1,44039,17460,NORTH RIDGEVILLE,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3618,2689,41,1,44039,17460,NORTH RIDGEVILLE,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3619,2690,41,1,44035,17460,ELYRIA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
3620,2691,41,1,44035,17460,ELYRIA,OH,CLE,"Cleveland-Elyria-Mentor, OH"
