,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
7645,5630,7,1,80439,19740,EVERGREEN,CO,COL,"Denver-Aurora-Lakewood, CO"
7646,5631,7,1,80247,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
7647,5632,7,1,80241,19740,THORNTON,CO,COL,"Denver-Aurora-Lakewood, CO"
7648,5633,7,2,80229,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
7649,5634,7,2,80127,19740,LITTLETON,CO,COL,"Denver-Aurora-Lakewood, CO"
7650,5635,7,2,80126,19740,LITTLETON,CO,COL,"Denver-Aurora-Lakewood, CO"
7975,5889,7,1,80033,19740,WHEAT RIDGE,CO,COL,"Denver-Aurora-Lakewood, CO"
7976,5890,7,2,80303,19740,BOULDER,CO,COL,"Denver-Aurora-Lakewood, CO"
8001,5906,7,2,80701,19740,FORT MORGAN,CO,COL,"Denver-Aurora-Lakewood, CO"
8011,5914,7,2,80212,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8017,5920,7,2,80004,19740,ARVADA,CO,COL,"Denver-Aurora-Lakewood, CO"
8022,5924,7,1,80030,19740,WESTMINSTER,CO,COL,"Denver-Aurora-Lakewood, CO"
8025,5927,7,2,80033,19740,WHEAT RIDGE,CO,COL,"Denver-Aurora-Lakewood, CO"
8260,6127,7,2,80831,19740,PEYTON,CO,COL,"Denver-Aurora-Lakewood, CO"
8281,6142,7,2,80516,19740,ERIE,CO,COL,"Denver-Aurora-Lakewood, CO"
8285,6144,7,2,80401,19740,GOLDEN,CO,COL,"Denver-Aurora-Lakewood, CO"
8286,6145,7,2,80401,19740,GOLDEN,CO,COL,"Denver-Aurora-Lakewood, CO"
8287,6146,7,1,80247,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8288,6147,7,2,80234,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8289,6148,7,2,80231,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8290,6149,7,2,80223,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8291,6150,7,1,80222,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8292,6151,7,2,80220,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8293,6152,7,2,80219,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8294,6153,7,1,80219,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8295,6154,7,1,80215,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8296,6155,7,2,80209,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8297,6156,7,2,80209,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8298,6157,7,2,80206,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8299,6158,7,2,80206,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8300,6159,7,1,80205,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8301,6160,7,1,80205,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8302,6161,7,1,80205,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8303,6162,7,2,80205,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8304,6163,7,1,80205,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8305,6164,7,1,80204,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8306,6165,7,2,80204,19740,DENVER,CO,COL,"Denver-Aurora-Lakewood, CO"
8307,6166,7,1,80125,19740,LITTLETON,CO,COL,"Denver-Aurora-Lakewood, CO"
8308,6167,7,2,80120,19740,LITTLETON,CO,COL,"Denver-Aurora-Lakewood, CO"
8309,6168,7,2,80111,19740,ENGLEWOOD,CO,COL,"Denver-Aurora-Lakewood, CO"
8310,6169,7,1,80033,19740,WHEAT RIDGE,CO,COL,"Denver-Aurora-Lakewood, CO"
8311,6170,7,1,80033,19740,WHEAT RIDGE,CO,COL,"Denver-Aurora-Lakewood, CO"
8313,6171,7,1,80023,19740,BROOMFIELD,CO,COL,"Denver-Aurora-Lakewood, CO"
8314,6172,7,2,80022,19740,COMMERCE CITY,CO,COL,"Denver-Aurora-Lakewood, CO"
