,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
2476,1913,27,1,48892,19820,WEBBERVILLE,MI,DET,"Detroit-Warren-Dearborn, MI"
2485,1917,27,1,48872,19820,PERRY,MI,DET,"Detroit-Warren-Dearborn, MI"
2497,1924,27,1,48843,19820,HOWELL,MI,DET,"Detroit-Warren-Dearborn, MI"
2498,1925,27,1,48843,19820,HOWELL,MI,DET,"Detroit-Warren-Dearborn, MI"
2499,1926,27,1,48843,19820,HOWELL,MI,DET,"Detroit-Warren-Dearborn, MI"
2540,1960,27,2,48444,19820,IMLAY CITY,MI,DET,"Detroit-Warren-Dearborn, MI"
2541,1961,27,1,48423,19820,DAVISON,MI,DET,"Detroit-Warren-Dearborn, MI"
2543,1962,27,1,48375,19820,NOVI,MI,DET,"Detroit-Warren-Dearborn, MI"
2544,1963,27,1,48371,19820,OXFORD,MI,DET,"Detroit-Warren-Dearborn, MI"
2545,1964,27,1,48342,19820,PONTIAC,MI,DET,"Detroit-Warren-Dearborn, MI"
2546,1965,27,1,48340,19820,PONTIAC,MI,DET,"Detroit-Warren-Dearborn, MI"
2547,1966,27,1,48336,19820,FARMINGTON,MI,DET,"Detroit-Warren-Dearborn, MI"
2548,1967,27,1,48336,19820,FARMINGTON,MI,DET,"Detroit-Warren-Dearborn, MI"
2549,1968,27,1,48335,19820,FARMINGTON,MI,DET,"Detroit-Warren-Dearborn, MI"
2550,1969,27,1,48331,19820,FARMINGTON,MI,DET,"Detroit-Warren-Dearborn, MI"
2551,1970,27,1,48329,19820,WATERFORD,MI,DET,"Detroit-Warren-Dearborn, MI"
2552,1971,27,1,48329,19820,WATERFORD,MI,DET,"Detroit-Warren-Dearborn, MI"
2553,1972,27,1,48326,19820,AUBURN HILLS,MI,DET,"Detroit-Warren-Dearborn, MI"
2554,1973,27,1,48316,19820,UTICA,MI,DET,"Detroit-Warren-Dearborn, MI"
2555,1974,27,1,48316,19820,UTICA,MI,DET,"Detroit-Warren-Dearborn, MI"
2556,1975,27,1,48312,19820,STERLING HEIGHTS,MI,DET,"Detroit-Warren-Dearborn, MI"
2557,1976,27,1,48310,19820,STERLING HEIGHTS,MI,DET,"Detroit-Warren-Dearborn, MI"
2558,1977,27,1,48309,19820,ROCHESTER,MI,DET,"Detroit-Warren-Dearborn, MI"
2559,1978,27,1,48307,19820,ROCHESTER,MI,DET,"Detroit-Warren-Dearborn, MI"
2560,1979,27,1,48307,19820,ROCHESTER,MI,DET,"Detroit-Warren-Dearborn, MI"
2561,1980,27,1,48306,19820,ROCHESTER,MI,DET,"Detroit-Warren-Dearborn, MI"
2562,1981,27,2,48306,19820,ROCHESTER,MI,DET,"Detroit-Warren-Dearborn, MI"
2563,1982,27,1,48237,19820,OAK PARK,MI,DET,"Detroit-Warren-Dearborn, MI"
2564,1983,27,2,48237,19820,OAK PARK,MI,DET,"Detroit-Warren-Dearborn, MI"
2565,1984,27,1,48235,19820,DETROIT,MI,DET,"Detroit-Warren-Dearborn, MI"
2566,1985,27,2,48229,19820,ECORSE,MI,DET,"Detroit-Warren-Dearborn, MI"
2567,1986,27,2,48224,19820,DETROIT,MI,DET,"Detroit-Warren-Dearborn, MI"
2568,1987,27,1,48224,19820,DETROIT,MI,DET,"Detroit-Warren-Dearborn, MI"
