,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
389,301,29,1,64644,28140,HAMILTON,MO,KCR,"Kansas City, MO-KS"
398,307,29,1,64429,28140,CAMERON,MO,KCR,"Kansas City, MO-KS"
401,308,29,1,64429,28140,CAMERON,MO,KCR,"Kansas City, MO-KS"
403,310,29,1,64163,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
404,311,29,1,64158,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
405,312,29,1,64157,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
406,313,29,1,64156,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
407,314,29,1,64152,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
408,315,29,1,64152,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
409,316,29,1,64138,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
410,317,29,1,64138,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
411,318,29,1,64134,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
412,319,29,1,64133,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
413,320,29,1,64131,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
414,321,29,2,64129,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
415,322,29,1,64127,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
416,323,29,1,64127,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
417,324,29,1,64123,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
418,325,29,1,64119,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
419,326,29,1,64118,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
420,327,29,1,64118,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
421,328,29,1,64116,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
422,329,29,1,64111,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
423,330,29,1,64111,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
424,331,29,1,64109,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
425,332,29,1,64086,28140,LEES SUMMIT,MO,KCR,"Kansas City, MO-KS"
426,333,29,1,64085,28140,RICHMOND,MO,KCR,"Kansas City, MO-KS"
427,334,29,1,64083,28140,RAYMORE,MO,KCR,"Kansas City, MO-KS"
428,335,29,1,64082,28140,LEES SUMMIT,MO,KCR,"Kansas City, MO-KS"
429,336,29,1,64068,28140,LIBERTY,MO,KCR,"Kansas City, MO-KS"
430,337,29,1,64057,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
431,338,29,1,64056,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
432,339,29,1,64055,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
433,340,29,1,64052,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
434,341,29,1,64050,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
436,342,29,1,64037,28140,HIGGINSVILLE,MO,KCR,"Kansas City, MO-KS"
438,343,29,1,64037,28140,HIGGINSVILLE,MO,KCR,"Kansas City, MO-KS"
439,344,29,1,64030,28140,GRANDVIEW,MO,KCR,"Kansas City, MO-KS"
440,345,29,1,64029,28140,GRAIN VALLEY,MO,KCR,"Kansas City, MO-KS"
441,346,29,1,64028,28140,FARLEY,MO,KCR,"Kansas City, MO-KS"
442,347,29,1,64024,28140,EXCELSIOR SPRINGS,MO,KCR,"Kansas City, MO-KS"
443,348,29,1,64022,28140,DOVER,MO,KCR,"Kansas City, MO-KS"
444,349,29,1,64015,28140,BLUE SPRINGS,MO,KCR,"Kansas City, MO-KS"
4648,3511,29,2,64116,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
4989,3753,29,1,64138,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5140,3855,29,1,64068,28140,LIBERTY,MO,KCR,"Kansas City, MO-KS"
5195,3892,29,1,64055,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
5278,3947,29,1,64668,28140,NORBORNE,MO,KCR,"Kansas City, MO-KS"
5281,3949,29,1,64128,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5282,3950,29,1,64014,28140,BLUE SPRINGS,MO,KCR,"Kansas City, MO-KS"
5293,3957,29,1,64109,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5356,4010,29,2,64082,28140,LEES SUMMIT,MO,KCR,"Kansas City, MO-KS"
5361,4013,29,1,64138,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5484,4096,29,2,64105,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5509,4116,29,1,64055,28140,INDEPENDENCE,MO,KCR,"Kansas City, MO-KS"
5518,4122,29,1,64138,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5519,4123,29,1,64012,28140,BELTON,MO,KCR,"Kansas City, MO-KS"
5536,4135,29,1,64734,28140,CLEVELAND,MO,KCR,"Kansas City, MO-KS"
5894,4393,29,1,64429,28140,CAMERON,MO,KCR,"Kansas City, MO-KS"
5906,4401,29,1,64111,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
5948,4432,29,1,64083,28140,RAYMORE,MO,KCR,"Kansas City, MO-KS"
5951,4433,29,1,64429,28140,CAMERON,MO,KCR,"Kansas City, MO-KS"
5966,4445,29,1,64133,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
6001,4472,29,2,64132,28140,KANSAS CITY,MO,KCR,"Kansas City, MO-KS"
6092,4530,29,1,64063,28140,LEES SUMMIT,MO,KCR,"Kansas City, MO-KS"
6101,4537,29,1,64701,28140,HARRISONVILLE,MO,KCR,"Kansas City, MO-KS"
6210,4615,29,1,64020,28140,CONCORDIA,MO,KCR,"Kansas City, MO-KS"
