,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
2107,1637,57,1,54751,33460,MENOMONIE,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2195,1696,57,1,54022,33460,RIVER FALLS,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2196,1697,57,1,54022,33460,RIVER FALLS,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2197,1698,57,1,54017,33460,NEW RICHMOND,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2199,1699,57,1,54016,33460,HUDSON,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2200,1700,57,1,54011,33460,ELLSWORTH,WI,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3962,2947,28,1,55084,33460,TAYLORS FALLS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3963,2948,28,1,55405,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3964,2949,28,1,55124,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3966,2951,28,1,55433,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3967,2952,28,1,55303,33460,ANOKA,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3969,2954,28,1,55322,33460,COLOGNE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3972,2956,28,1,55447,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3974,2958,28,1,55025,33460,FOREST LAKE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3975,2959,28,1,55434,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3977,2960,28,1,55033,33460,HASTINGS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3978,2961,28,1,55379,33460,SHAKOPEE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3979,2962,28,1,55436,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3980,2963,28,1,55422,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3983,2965,28,1,55308,33460,BECKER,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3984,2966,28,1,55112,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3985,2967,28,1,55363,33460,MONTROSE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3986,2968,28,1,55432,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3990,2971,28,1,55101,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3991,2972,28,1,55421,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
3994,2975,28,1,55317,33460,CHANHASSEN,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4000,2978,28,1,55033,33460,HASTINGS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4001,2979,28,1,55121,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4002,2980,28,1,55308,33460,BECKER,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4003,2981,28,1,55449,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4004,2982,28,1,55432,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4005,2983,28,1,55109,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4006,2984,28,1,55069,33460,RUSH CITY,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4008,2985,28,1,55122,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4009,2986,28,1,55024,33460,FARMINGTON,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4010,2987,28,1,55129,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4014,2990,28,1,55112,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4018,2993,28,1,55390,33460,WAVERLY,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4019,2994,28,1,55111,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4021,2996,28,1,55128,33460,SAINT PAUL,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4024,2998,28,1,55001,33460,AFTON,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4027,3000,28,1,55435,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4030,3003,28,1,55016,33460,COTTAGE GROVE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4031,3004,28,1,55082,33460,STILLWATER,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4032,3005,28,2,55309,33460,BIG LAKE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4033,3006,28,1,55425,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4034,3007,28,1,55448,33460,MINNEAPOLIS,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4037,3009,28,1,55013,33460,CHISAGO CITY,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
4038,3010,28,1,55344,33460,EDEN PRAIRIE,MN,MIN,"Minneapolis-St. Paul-Bloomington, MN-WI"
