,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
7888,5825,44,2,19464,37980,POTTSTOWN,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7890,5826,44,2,19464,37980,POTTSTOWN,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7892,5827,44,2,19456,37980,OAKS,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7893,5828,44,2,19390,37980,WEST GROVE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7894,5829,44,2,19122,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7895,5830,44,2,18964,37980,SOUDERTON,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7929,5856,44,2,19001,37980,ABINGTON,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7934,5860,44,2,18055,37980,HELLERTOWN,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
7937,5862,44,2,19131,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8070,5966,44,2,19320,37980,COATESVILLE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8800,6557,44,2,19468,37980,ROYERSFORD,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8801,6558,44,2,19465,37980,POTTSTOWN,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8802,6559,44,2,19460,37980,PHOENIXVILLE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8803,6560,44,1,19460,37980,PHOENIXVILLE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8804,6561,44,2,19348,37980,KENNETT SQUARE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8805,6562,44,2,19342,37980,GLEN MILLS,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8806,6563,44,2,19151,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8807,6564,44,1,19149,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8808,6565,44,2,19149,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8809,6566,44,2,19149,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8810,6567,44,2,19147,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8811,6568,44,1,19144,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8812,6569,44,2,19143,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8813,6570,44,1,19142,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8814,6571,44,2,19138,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8815,6572,44,2,19134,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8816,6573,44,2,19129,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8817,6574,44,2,19126,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8818,6575,44,2,19124,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8819,6576,44,2,19120,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8820,6577,44,1,19119,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8821,6578,44,2,19111,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8822,6579,44,2,19104,37980,PHILADELPHIA,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8823,6580,44,2,19090,37980,WILLOW GROVE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8824,6581,44,2,19087,37980,WAYNE,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8825,6582,44,2,19082,37980,UPPER DARBY,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8826,6583,44,2,19061,37980,MARCUS HOOK,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8827,6584,44,2,19044,37980,HORSHAM,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8828,6585,44,2,19044,37980,HORSHAM,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8829,6586,44,2,19026,37980,DREXEL HILL,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8830,6587,44,2,19021,37980,CROYDON,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8831,6588,44,1,19014,37980,ASTON,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8832,6589,44,2,19013,37980,CHESTER,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8833,6590,44,2,19013,37980,CHESTER,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8834,6591,44,2,19007,37980,BRISTOL,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8835,6592,44,2,19007,37980,BRISTOL,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8836,6593,44,2,18974,37980,WARMINSTER,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
8895,6643,44,2,19066,37980,MERION STATION,PA,PHI,"Philadelphia-Camden-Wilmington, PA-NJ-DE"
