,Unnamed: 0,state_x,midwest,zip,cbsa_code,city,state_y,team,msa
7911,5844,44,2,15642,38300,IRWIN,PA,PIT,"Pittsburgh, PA"
7912,5845,44,1,15613,38300,APOLLO,PA,PIT,"Pittsburgh, PA"
7913,5846,44,1,15232,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
7914,5847,44,2,15215,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
7915,5848,44,2,15122,38300,WEST MIFFLIN,PA,PIT,"Pittsburgh, PA"
7927,5854,44,2,15214,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8870,6619,44,2,16201,38300,KITTANNING,PA,PIT,"Pittsburgh, PA"
8873,6622,44,2,15668,38300,MURRYSVILLE,PA,PIT,"Pittsburgh, PA"
8875,6623,44,2,15461,38300,MASONTOWN,PA,PIT,"Pittsburgh, PA"
8876,6624,44,2,15401,38300,UNIONTOWN,PA,PIT,"Pittsburgh, PA"
8877,6625,44,2,15401,38300,UNIONTOWN,PA,PIT,"Pittsburgh, PA"
8878,6626,44,2,15312,38300,AVELLA,PA,PIT,"Pittsburgh, PA"
8879,6627,44,2,15222,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8880,6628,44,2,15218,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8881,6629,44,2,15217,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8882,6630,44,2,15217,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8883,6631,44,2,15216,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8884,6632,44,1,15214,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8885,6633,44,2,15207,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8886,6634,44,2,15142,38300,PRESTO,PA,PIT,"Pittsburgh, PA"
8887,6635,44,2,15122,38300,WEST MIFFLIN,PA,PIT,"Pittsburgh, PA"
8888,6636,44,1,15085,38300,TRAFFORD,PA,PIT,"Pittsburgh, PA"
8889,6637,44,2,15068,38300,NEW KENSINGTON,PA,PIT,"Pittsburgh, PA"
8890,6638,44,2,15062,38300,MONESSEN,PA,PIT,"Pittsburgh, PA"
8891,6639,44,2,15037,38300,ELIZABETH,PA,PIT,"Pittsburgh, PA"
8892,6640,44,2,15026,38300,CLINTON,PA,PIT,"Pittsburgh, PA"
8893,6641,44,2,15010,38300,BEAVER FALLS,PA,PIT,"Pittsburgh, PA"
8909,6655,44,2,15066,38300,NEW BRIGHTON,PA,PIT,"Pittsburgh, PA"
8932,6675,44,1,15235,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8939,6679,44,1,15131,38300,MCKEESPORT,PA,PIT,"Pittsburgh, PA"
8949,6686,44,2,15205,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
8956,6693,44,2,15108,38300,CORAOPOLIS,PA,PIT,"Pittsburgh, PA"
8980,6712,44,2,15234,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
9008,6732,44,2,15220,38300,PITTSBURGH,PA,PIT,"Pittsburgh, PA"
